全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
112038,k130000001,埼玉県川口市,川口市立栄町保育所,カワグチシリツサカエチョウホイクショ,,認可公立保育所,112038,,埼玉県川口市栄町1-2-19,埼玉県,川口市栄町1-2-19,,,,35.80447743,139.7269241,,,,,(048)252-4384,,(048)258-6710,,,,,,川口市,1952/1/25,70,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000002,埼玉県川口市,川口市立横曽根保育所,カワグチシリツヨコゾネホイクショ,,認可公立保育所,112038,,埼玉県川口市南町1-2-37,埼玉県,川口市南町1-2-37,,,,35.80333025,139.7044606,,,,,(048)252-3588,,(048)258-6712,,,,,,川口市,1948/6/30,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000003,埼玉県川口市,川口市立仲町東保育所,カワグチシリツナカチョウヒガシホイクショ,,認可公立保育所,112038,,埼玉県川口市仲町15-15,埼玉県,川口市仲町15-15,,,,35.80793777,139.7085455,,,,,(048)253-2873,,(048)258-6713,,,,,,川口市,1967/4/1,114,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000004,埼玉県川口市,川口市立並木保育所,カワグチシリツナミキホイクショ,,認可公立保育所,112038,,埼玉県川口市並木2-3-6,埼玉県,川口市並木2-3-6,,,,35.81703382,139.707111,,,,,(048)251-2289,,(048)258-6715,,,,,,川口市,1964/5/1,60,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,令和３年度より休所
112038,k130000005,埼玉県川口市,川口市立南青木保育所,カワグチシリツミナミアオキホイクショ,,認可公立保育所,112038,,埼玉県川口市青木1-4-4,埼玉県,川口市青木1-4-4,,,,35.80688186,139.724957,,,,,(048)251-7248,,(048)258-6716,,,,,,川口市,1959/4/1,150,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000006,埼玉県川口市,川口市立青木北保育所,カワグチシリツアオキキタホイクショ,,認可公立保育所,112038,,埼玉県川口市西青木1-8-28,埼玉県,川口市西青木1-8-28,,,,35.81460181,139.7153434,,,,,(048)251-2035,,(048)258-6719,,,,,,川口市,1962/4/1,60,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000007,埼玉県川口市,川口市立上青木西保育所,カワグチシリツカミアオキニシホイクショ,,認可公立保育所,112038,,埼玉県川口市上青木西2-14-14,埼玉県,川口市上青木西2-14-14,,,,35.82557269,139.7169405,,,,,(048)253-1700,,(048)253-1701,,,,,,川口市,1972/4/1,113,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000008,埼玉県川口市,川口市立前川保育所,カワグチシリツマエカワホイクショ,,認可公立保育所,112038,,埼玉県川口市前川4-12-12,埼玉県,川口市前川4-12-12,,,,35.83843044,139.7073811,,,,,(048)265-6417,,(048)269-9453,,,,,,川口市,1954/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000009,埼玉県川口市,川口市立前川南保育所,カワグチシリツマエカワミナミホイクショ,,認可公立保育所,112038,,埼玉県川口市南前川2-15-2,埼玉県,川口市南前川2-15-2,,,,35.83165716,139.7096711,,,,,(048)266-5537,,(048)269-9454,,,,,,川口市,1972/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000010,埼玉県川口市,川口市立あさひ保育所,カワグチシリツアサヒホイクショ,,認可公立保育所,112038,,埼玉県川口市朝日1-13-3,埼玉県,川口市朝日1-13-3,,,,35.80821333,139.7350584,,,,,(048)222-6854,,(048)225-8562,,,,,,川口市,1956/4/1,90,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000011,埼玉県川口市,川口市立朝日北保育所,カワグチシリツアサヒキタホイクショ,,認可公立保育所,112038,,埼玉県川口市朝日2-16-5,埼玉県,川口市朝日2-16-5,,,,35.81184823,139.733248,,,,,(048)223-2005,,(048)225-8563,,,,,,川口市,1967/11/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000012,埼玉県川口市,川口市立朝日西保育所,カワグチシリツアサヒニシホイクショ,,認可公立保育所,112038,,埼玉県川口市朝日4-17-9,埼玉県,川口市朝日4-17-9,,,,35.81051353,139.7418987,,,,,(048)223-4766,,(048)225-8565,,,,,,川口市,1976/4/1,130,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000013,埼玉県川口市,川口市立領家保育所,カワグチシリツリョウケホイクショ,,認可公立保育所,112038,,埼玉県川口市東領家3-1-8,埼玉県,川口市東領家3-1-8,,,,35.79291261,139.7496764,,,,,(048)223-4781,,(048)225-8222,,,,,,社会福祉法人　ひふみ会,1969/5/1,85,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000014,埼玉県川口市,川口市立新郷峯保育所,カワグチシリツシンゴウミネホイクショ,,認可公立保育所,112038,,埼玉県川口市峯1322,埼玉県,川口市峯1322,,,,35.83190125,139.7710743,,,,,(048)296-7023,,(048)297-0591,,,,,,川口市,1978/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000015,埼玉県川口市,川口市立根岸北保育所,カワグチシリツネギシキタホイクショ,,認可公立保育所,112038,,埼玉県川口市安行領根岸886-1,埼玉県,川口市安行領根岸886-1,,,,35.85131192,139.7101087,,,,,(048)284-6988,,(048)281-9972,,,,,,川口市,1979/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000016,埼玉県川口市,川口市立芝南保育所,カワグチシリツシバミナミホイクショ,,認可公立保育所,112038,,埼玉県川口市芝中田2-3-1,埼玉県,川口市芝中田2-3-1,,,,35.83042075,139.7017769,,,,,(048)266-6244,,(048)269-9455,,,,,,学校法人　本多学園,1966/4/1,123,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000017,埼玉県川口市,川口市立芝保育所,カワグチシリツシバホイクショ,,認可公立保育所,112038,,埼玉県川口市芝樋ノ爪1-12-8,埼玉県,川口市芝樋ノ爪1-12-8,,,,35.833357,139.6891704,,,,,(048)265-6415,,(048)269-9457,,,,,,川口市,1960/4/1,60,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000018,埼玉県川口市,川口市立芝園保育所,カワグチシリツシバゾノホイクショ,,認可公立保育所,112038,,埼玉県川口市芝園町3-7,埼玉県,川口市芝園町3-7,,,,35.83278563,139.6822265,,,,,(048)268-4315,,(048)269-9459,,,,,,川口市,1981/4/1,90,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000019,埼玉県川口市,川口市立芝中央保育所,カワグチシリツシバチュウオウホイクショ,,認可公立保育所,112038,,埼玉県川口市芝3905,埼玉県,川口市芝3905,,,,35.83685797,139.6935596,,,,,(048)266-3110,,(048)269-9460,,,,,,川口市,1971/4/1,120,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000020,埼玉県川口市,川口市立芝西保育所,カワグチシリツシバニシホイクショ,,認可公立保育所,112038,,埼玉県川口市小谷場237,埼玉県,川口市小谷場237,,,,35.8432415,139.6840115,,,,,(048)265-6418,,(048)269-9462,,,,,,川口市,1969/5/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000021,埼玉県川口市,川口市立芝北保育所,カワグチシリツシバキタホイクショ,,認可公立保育所,112038,,埼玉県川口市北園町11-1,埼玉県,川口市北園町11-1,,,,35.85541093,139.7035944,,,,,(048)266-2610,,(048)269-9463,,,,,,川口市,1970/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000022,埼玉県川口市,川口市立安行保育所,カワグチシリツアンギョウホイクショ,,認可公立保育所,112038,,埼玉県川口市安行慈林130,埼玉県,川口市安行慈林130,,,,35.83635483,139.7503503,,,,,(048)285-2155,,(048)281-9974,,,,,,川口市,1975/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000023,埼玉県川口市,川口市立戸塚保育所,カワグチシリツトヅカホイクショ,,認可公立保育所,112038,,埼玉県川口市戸塚東3-34-5,埼玉県,川口市戸塚東3-34-5,,,,35.87024417,139.7568101,,,,,(048)296-6656,,(048)297-0592,,,,,,川口市,1983/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000024,埼玉県川口市,川口市立戸塚西保育所,カワグチシリツトヅカニシホイクショ,,認可公立保育所,112038,,埼玉県川口市北原台3-18-10,埼玉県,川口市北原台3-18-10,,,,35.86924719,139.7307409,,,,,(048)298-4950,,(048)298-2396,,,,,,川口市,1996/10/1,150,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000025,埼玉県川口市,川口市立桜保育所,カワグチシリツサクラホイクショ,,認可公立保育所,112038,,埼玉県川口市桜町6-11-10,埼玉県,川口市桜町6-11-10,,,,35.83847687,139.7428889,,,,,(048)281-3942,,(048)281-5201,,,,,,川口市,1962/4/1,73,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000026,埼玉県川口市,川口市立里保育所,カワグチシリツサトホイクショ,,認可公立保育所,112038,,埼玉県川口市里493-1,埼玉県,川口市里493-1,,,,35.83578707,139.7309977,,,,,(048)281-0026,,(048)286-5560,,,,,,川口市,1965/4/1,100,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000027,埼玉県川口市,川口市立南鳩ヶ谷保育所,カワグチシリツミナミハトガヤホイクショ,,認可公立保育所,112038,,埼玉県川口市南鳩ヶ谷6-6-18,埼玉県,川口市南鳩ヶ谷6-6-18,,,,35.81850468,139.7350923,,,,,(048)283-4001,,(048)283-4008,,,,,,川口市,1972/4/1,120,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000028,埼玉県川口市,川口市立三ツ和保育所,カワグチシリツミツワホイクショ,,認可公立保育所,112038,,埼玉県川口市南鳩ヶ谷1-4-17,埼玉県,川口市南鳩ヶ谷1-4-17,,,,35.82312917,139.7385362,,,,,(048)281-3018,,(048)281-5327,,,,,,川口市,1977/11/1,73,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000029,埼玉県川口市,川口市立戸塚しらぎく保育園,カワグチシリツトヅカシラギクホイクエン,,認可公立保育所,112038,,埼玉県川口市西立野25-1,埼玉県,川口市西立野25-1,,,,35.85499532,139.7517052,,,,,(048)298-8107,,(048)298-8117,,,,,,学校法人　嶋根学園,2001/10/1,90,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000030,埼玉県川口市,川口市立戸塚のぞみ保育園,カワグチシリツトヅカノゾミホイクエン,,認可公立保育所,112038,,埼玉県川口市東川口4-22-12,埼玉県,川口市東川口4-22-12,,,,35.88224968,139.741578,,,,,(048)299-0712,,(048)299-0712,,,,,,学校法人　南陵学園,2002/4/1,80,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000031,埼玉県川口市,川口市立並木南保育所,カワグチシリツナミキミナミホイクショ,,認可公立保育所,112038,,埼玉県川口市並木1-8-25,埼玉県,川口市並木1-8-25,,,,35.8111712,139.7114396,,,,,(048)252-1166,,(048)258-6714,,,,,,学校法人　文化学園,1971/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000032,埼玉県川口市,川口市立神根保育所,カワグチシリツカミネホイクショ,,認可公立保育所,112038,,埼玉県川口市西新井宿557-4,埼玉県,川口市西新井宿557-4,,,,35.84818772,139.7265673,,,,,(048)282-0388,,(048)281-9973,,,,,,学校法人　いずみ学園,1989/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000033,埼玉県川口市,川口市立新郷保育所,カワグチシリツシンゴウホイクショ,,認可公立保育所,112038,,埼玉県川口市東本郷1000,埼玉県,川口市東本郷1000,,,,35.82426546,139.7641601,,,,,(048)282-0389,,(048)281-9971,,,,,,学校法人　小沢学園,1968/4/1,120,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000034,埼玉県川口市,川口市立青木保育所,カワグチシリツアオキホイクショ,,認可公立保育所,112038,,埼玉県川口市西青木3-5-4,埼玉県,川口市西青木3-5-4,,,,35.81840832,139.7105509,,,,,(048)253-2369,,(048)258-6720,,,,,,株式会社　日本保育サービス,1972/6/1,80,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000035,埼玉県川口市,川口市立芝高木保育所,カワグチシリツシバタカギホイクショ,,認可公立保育所,112038,,埼玉県川口市芝宮根町20-31,埼玉県,川口市芝宮根町20-31,,,,35.84144755,139.6968413,,,,,(048)269-3087,,(048)269-9461,,,,,,学校法人　大徳寺学園,1980/4/1,90,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000036,埼玉県川口市,川口市立川口駅前保育園,カワグチシリツカワグチエキマエホイクエン,,認可公立保育所,112038,,埼玉県川口市川口1-1-1,埼玉県,川口市川口1-1-1,,,キュポ・ラ8F,35.80087562,139.718542,,,,,(048)222-6011,,(048)222-6011,,,,,,株式会社　日本保育サービス,2006/4/1,120,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000037,埼玉県川口市,川口市立川口西保育園,カワグチシリツカワグチニシホイクエン,,認可公立保育所,112038,,埼玉県川口市川口5-12-9,埼玉県,川口市川口5-12-9,,,,35.80515572,139.7085888,,,,,(048)251-3536,,(048)251-6373,,,,,,学校法人　文化学園,2007/4/1,200,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000038,埼玉県川口市,川口市立本町保育所,カワグチシリツホンチョウホイクショ,,認可公立保育所,112038,,埼玉県川口市本町2-3-7,埼玉県,川口市本町2-3-7,,,,35.79858509,139.7256995,,,,,(048)222-4082,,(048)225-8560,,,,,,社会福祉法人　ひふみ会,1964/10/1,90,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000039,埼玉県川口市,川口市立上青木保育所,カワグチシリツカミアオキホイクショ,,認可公立保育所,112038,,埼玉県川口市上青木5-5-55,埼玉県,川口市上青木5-5-55,,,,35.83130153,139.7250815,,,,,(048)265-6416,,(048)269-9451,,,,,,株式会社　WITH,1956/4/1,90,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000040,埼玉県川口市,川口市立並木東保育園,カワグチシリツナミキヒガシホイクエン,,認可公立保育所,112038,,埼玉県川口市並木1-24-62,埼玉県,川口市並木1-24-62,,,,35.81211437,139.7132081,,,,,(048)258-8071,,(048)258-8073,,,,,,学校法人　嶋根学園,2017/4/1,90,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000041,埼玉県川口市,川口市立南平保育園,カワグチシリツナンペイホイクエン,,認可公立保育所,112038,,埼玉県川口市元郷1-31-7,埼玉県,川口市元郷1-31-7,,,,35.80050436,139.7342143,,,,,(048)222-7231,,(048)225-8566,,,,,,学校法人　若芝学園,2018/3/31,130,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000042,埼玉県川口市,安行東光保育園,アンギョウトウコウホイクエン,,認可私立保育所,112038,,埼玉県川口市安行原1361,埼玉県,川口市安行原1361,,,,35.83918511,139.7721899,,,,,(048)296-7024,,(048)296-7024,,,,,,社会福祉法人　慈光会,1978/4/1,90,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000043,埼玉県川口市,アケボノ保育園,アケボノホイクエン,,認可私立保育所,112038,,埼玉県川口市元郷5-23-1,埼玉県,川口市元郷5-23-1,,,,35.79822847,139.7386647,,,,,(048)223-2727,,(048)223-2727,,,,,,社会福祉法人　曙光会,1979/4/1,60,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から15：30休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000044,埼玉県川口市,しいのみ保育園,シイノミホイクエン,,認可私立保育所,112038,,埼玉県川口市前川2-39-7,埼玉県,川口市前川2-39-7,,,,35.83742938,139.7182035,,,,,(048)267-1403,,(048)267-1463,,,,,,社会福祉法人　誠育福祉会,1981/4/1,60,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000045,埼玉県川口市,レオ保育園川口,レオホイクエンカワグチ,,認可私立保育所,112038,,埼玉県川口市元郷2-15-44,埼玉県,川口市元郷2-15-44,,,,35.79754326,139.7324215,,,,,(048)226-3460,,(048)226-3461,,,,,,社会福祉法人　のぞみ会,1998/4/1,90,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000046,埼玉県川口市,カルチャー保育園,カルチャーホイクエン,,認可私立保育所,112038,,埼玉県川口市栄町2-7-5,埼玉県,川口市栄町2-7-5,,,,35.80287802,139.7225925,,,,,(048)256-1071,,(048)256-4867,,,,,,社会福祉法人　ひふみ会,2004/4/1,60,0歳から2歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から16：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000047,埼玉県川口市,赤芝保育園,アカシバホイクエン,,認可私立保育所,112038,,埼玉県川口市赤山193-2,埼玉県,川口市赤山193-2,,,,35.85056012,139.751499,,,,,(048)291-0561,,(048)291-0562,,,,,,社会福祉法人　赤芝心育会,2004/4/1,80,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000048,埼玉県川口市,川口こども園,カワグチコドモエン,,認可私立保育所,112038,,埼玉県川口市安行領根岸1291,埼玉県,川口市安行領根岸1291,,,,35.84622366,139.714697,,,,,(048)286-0069,,(048)286-0069,,,,,,株式会社　こどもの森,2004/12/28,90,0歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000049,埼玉県川口市,コンビプラザ川口東保育園,コンビプラザカワグチヒガシホイクエン,,認可私立保育所,112038,,埼玉県川口市本町4-5-26,埼玉県,川口市本町4-5-26,,,キャメリアプラザ2Ｆ,35.80089687,139.721169,,,,,(048)227-1108,,(048)224-5787,,,,,,コンビウィズ　株式会社,2004/9/1,60,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000050,埼玉県川口市,アスク東川口保育園,アスクヒガシカワグチホイクエン,,認可私立保育所,112038,,埼玉県川口市戸塚4-21-1,埼玉県,川口市戸塚4-21-1,,,,35.86758763,139.7425371,,,,,(048)298-0083,,(048)242-3700,,,,,,株式会社　日本保育サービス,2005/4/1,90,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
